item_id	score
357	583
157	509
49	508
52	507
95	485
289	481
60	478
24	452
652	431
403	429
101	420
189	413
216	394
209	392
31	390
77	384
140	378
161	367
12	365
247	350
719	350
136	344
156	336
347	331
103	326
321	324
191	321
175	316
367	316
491	315
10	303
112	301
57	300
502	299
200	298
695	298
1	297
408	297
98	295
102	295
23	293
68	293
86	293
256	291
166	290
311	284
239	283
29	280
179	280
254	276
471	276
217	275
83	272
89	268
297	267
364	267
240	264
231	261
118	259
360	259
320	256
329	256
139	255
25	254
53	251
280	251
307	251
423	251
355	250
221	247
100	246
182	244
552	244
22	243
174	243
34	241
117	240
144	240
273	239
361	239
229	236
647	232
99	231
201	230
404	230
6	227
431	227
356	226
141	223
56	222
120	221
492	221
571	221
309	220
456	220
26	219
66	219
274	219
389	219
51	218
